,tracks,albums,shows,episodes,bannedTracks,other
37,"{'artist': 'Bowling For Soup', 'album': ""A Hangover You Don't Deserve"", 'track': 'Almost'}","{'artist': 'Paramore', 'album': 'After Laughter'}",,,,
38,"{'artist': 'Frank Ocean', 'album': 'Blonde', 'track': 'Nights'}","{'artist': 'Bring Me The Horizon', 'album': ""That's The Spirit""}",,,,
39,"{'artist': 'The Brobecks', 'album': 'Violent Things', 'track': 'Second Boys Will Be First Choice (Radio Version)'}","{'artist': 'Fall Out Boy', 'album': 'American Beauty/American Psycho'}",,,,
40,"{'artist': 'Bad Suns', 'album': 'This Was a Home Once', 'track': 'This Was a Home Once'}","{'artist': 'Fall Out Boy', 'album': 'Save Rock And Roll'}",,,,
41,"{'artist': 'Andrew McMahon in the Wilderness', 'album': 'Zombies On Broadway', 'track': 'Birthday Song'}","{'artist': 'Panic! At The Disco', 'album': ""A Fever You Can't Sweat Out""}",,,,
42,"{'artist': 'Father John Misty', 'album': ""God's Favorite Customer"", 'track': 'Date Night'}","{'artist': 'WALK THE MOON', 'album': 'Walk The Moon'}",,,,
43,"{'artist': 'Ed Sheeran', 'album': '+', 'track': 'Little Bird - Deluxe Edition'}","{'artist': 'Panic! At The Disco', 'album': 'Death of a Bachelor'}",,,,
44,"{'artist': 'A Boogie Wit da Hoodie', 'album': 'Artist', 'track': 'My Shit'}","{'artist': 'Fall Out Boy', 'album': 'Infinity On High'}",,,,
45,"{'artist': 'The Summer Set', 'album': 'Love Like This', 'track': 'Chelsea'}","{'artist': 'Father John Misty', 'album': ""God's Favorite Customer""}",,,,
46,"{'artist': 'Flights Over Phoenix', 'album': 'Runaway California', 'track': 'Runaway California'}","{'artist': 'Panic! At The Disco', 'album': 'Vices & Virtues'}",,,,
47,"{'artist': 'Jack Johnson', 'album': 'Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George', 'track': 'Upside Down'}","{'artist': 'Fall Out Boy', 'album': 'Champion'}",,,,
48,"{'artist': 'Samm Henshaw', 'album': 'Broke', 'track': 'Broke'}","{'artist': 'MARINA', 'album': 'Froot'}",,,,
49,"{'artist': 'Super Whatevr', 'album': 'Good Luck', 'track': 'Good Luck'}","{'artist': 'Fall Out Boy', 'album': 'Dear Future Self (Hands Up)'}",,,,
50,"{'artist': 'blackbear', 'album': 'me & ur ghost', 'track': 'me & ur ghost'}","{'artist': 'The Front Bottoms', 'album': 'Rose'}",,,,
51,"{'artist': 'LIL PHAG', 'album': 'resERECTION', 'track': 'IHATEMETOO'}","{'artist': 'half•alive', 'album': 'Now, Not Yet'}",,,,
52,"{'artist': 'Farewell Fighter', 'album': 'Challenges', 'track': 'Golden'}","{'artist': 'Childish Gambino', 'album': 'Me and Your Mama'}",,,,
53,"{'artist': 'Ed Sheeran', 'album': '+', 'track': 'Drunk'}",,,,,
54,"{'artist': 'Fitz and The Tantrums', 'album': 'More Than Just A Dream', 'track': 'Spark'}",,,,,
55,"{'artist': 'Rex Orange County', 'album': 'Pluto Projector', 'track': 'Pluto Projector'}",,,,,
56,"{'artist': 'Modest Mouse', 'album': 'The Moon & Antarctica', 'track': '3rd Planet'}",,,,,
57,"{'artist': 'My American Heart', 'album': 'Hiding Inside The Horrible Weather', 'track': 'The Shake'}",,,,,
58,"{'artist': 'Japanese Breakfast', 'album': 'Soft Sounds from Another Planet', 'track': 'Road Head'}",,,,,
59,"{'artist': 'Billy Joel', 'album': 'Piano Man', 'track': 'Piano Man'}",,,,,
60,"{'artist': 'Cavetown', 'album': 'Dear.', 'track': 'Talk to Me'}",,,,,
61,"{'artist': 'Japanese Breakfast', 'album': 'Psychopomp', 'track': 'Everybody Wants to Love You'}",,,,,
62,"{'artist': 'Twenty One Pilots', 'album': 'Blurryface', 'track': 'Hometown'}",,,,,
63,"{'artist': 'Lemon Demon', 'album': 'View-Monster', 'track': 'The Ocean'}",,,,,
64,"{'artist': 'Morning Parade', 'album': 'Headlights', 'track': 'Headlights'}",,,,,
65,"{'artist': 'Chris Jobe', 'album': 'Bad Look Good', 'track': 'Bad Look Good'}",,,,,
66,"{'artist': 'State Champs', 'album': 'The Acoustic Things', 'track': ""If I'm Lucky""}",,,,,
67,"{'artist': 'Kishi Bashi', 'album': 'Lighght', 'track': 'Philosophize In It! Chemicalize With It!'}",,,,,
68,"{'artist': 'The Wombats', 'album': 'Beautiful People Will Ruin Your Life', 'track': 'Black Flamingo'}",,,,,
69,"{'artist': 'Bazzi', 'album': 'COSMIC', 'track': 'Honest'}",,,,,
70,"{'artist': 'My Chemical Romance', 'album': 'Danger Days: The True Lives of the Fabulous Killjoys', 'track': 'SING'}",,,,,
71,"{'artist': 'BTS', 'album': ""Love Yourself 轉 'Tear'"", 'track': 'Airplane pt.2'}",,,,,
72,"{'artist': 'Panic! At The Disco', 'album': 'High Hopes on Saturday Night', 'track': 'High Hopes'}",,,,,
73,"{'artist': 'Vampire Weekend', 'album': 'California English Pt. 2', 'track': 'California English Pt. 2'}",,,,,
74,"{'artist': 'DAISY', 'album': 'Smoke About It - EP', 'track': 'Someone'}",,,,,
75,"{'artist': 'RADWIMPS', 'album': 'Your Name.', 'track': 'Zenzenzense - movie ver.'}",,,,,
76,"{'artist': 'Watsky', 'album': 'All Like Whatever', 'track': 'All Like Whatever'}",,,,,
77,"{'artist': 'Foliage', 'album': ""It's Time"", 'track': ""It's Time""}",,,,,
78,"{'artist': 'The Afters', 'album': 'Never Going Back To OK', 'track': 'Summer Again'}",,,,,
79,"{'artist': 'Panic! At The Disco', 'album': 'Suicide Squad: The Album', 'track': 'Bohemian Rhapsody'}",,,,,
80,"{'artist': 'Coldplay', 'album': 'Everyday Life', 'track': 'Orphans'}",,,,,
81,"{'artist': 'You Me At Six', 'album': 'Sinners Never Sleep', 'track': 'Crash'}",,,,,
82,"{'artist': 'No Rome', 'album': 'RIP Indo Hisashi', 'track': 'Narcissist (feat. The 1975)'}",,,,,
83,"{'artist': 'Basement', 'album': 'Colourmeinkindness', 'track': 'Pine'}",,,,,
84,"{'artist': 'Panic! At The Disco', 'album': ""A Fever You Can't Sweat Out"", 'track': ""There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet""}",,,,,
85,"{'artist': 'Kanye West', 'album': 'Graduation', 'track': ""Can't Tell Me Nothing""}",,,,,
86,"{'artist': 'Arctic Monkeys', 'album': 'Favourite Worst Nightmare', 'track': 'Teddy Picker'}",,,,,
87,"{'artist': 'The Brobecks', 'album': 'Violent Things', 'track': 'If You Like It Or Not'}",,,,,
88,"{'artist': 'AJR', 'album': 'The Click (Deluxe Edition)', 'track': 'Pretender - Acoustic'}",,,,,
89,"{'artist': 'Lemon Demon', 'album': 'Spirit Phone', 'track': 'Redesign Your Logo (Bonus Track)'}",,,,,
90,"{'artist': 'ScHoolboy Q', 'album': 'Black Panther The Album Music From And Inspired By', 'track': 'X (with 2 Chainz & Saudi)'}",,,,,
91,"{'artist': 'The Head and the Heart', 'album': 'The Head and the Heart', 'track': 'Rivers and Roads'}",,,,,
92,"{'artist': 'RAC', 'album': 'Unusual', 'track': 'Unusual'}",,,,,
93,"{'artist': 'Bad Suns', 'album': 'Disappear Here', 'track': 'Violet'}",,,,,
94,"{'artist': 'Years & Years', 'album': 'Sanctify', 'track': 'Sanctify'}",,,,,
95,"{'artist': 'Spencer Sutherland', 'album': 'NONE of this has been about you', 'track': 'Wallpaper'}",,,,,
96,"{'artist': 'Will Joseph Cook', 'album': 'Once In A Lifetime', 'track': 'Once In A Lifetime - Cover Version'}",,,,,
97,"{'artist': 'Fall Out Boy', 'album': 'Policia: A Tribute To The Police', 'track': 'Roxanne'}",,,,,
98,"{'artist': 'Brick + Mortar', 'album': 'Bangs', 'track': 'Locked In A Cage'}",,,,,
99,"{'artist': 'Vampire Weekend', 'album': 'Sunflower / Big Blue', 'track': 'Sunflower (feat. Steve Lacy)'}",,,,,
100,"{'artist': 'Rainbow Kitten Surprise', 'album': 'Seven + Mary', 'track': 'Mr. Redundant'}",,,,,
101,"{'artist': 'The Beach Boys', 'album': 'Pet Sounds', 'track': ""Wouldn't It Be Nice - Stereo Mix""}",,,,,
102,"{'artist': 'Samuel Larsen', 'album': 'Blue', 'track': 'Blue'}",,,,,
103,"{'artist': 'Panic! At The Disco', 'album': 'Pretty. Odd.', 'track': ""She's a Handsome Woman""}",,,,,
104,"{'artist': 'Rob $tone', 'album': 'Chill Bill (feat. J. Davi$ & Spooks)', 'track': 'Chill Bill (feat. J. Davi$ & Spooks)'}",,,,,
105,"{'artist': 'Kanye West', 'album': 'Graduation', 'track': 'Stronger'}",,,,,
106,"{'artist': 'AJR', 'album': 'The Click (Deluxe Edition)', 'track': 'No Grass Today'}",,,,,
107,"{'artist': 'From Indian Lakes', 'album': 'Absent Sounds', 'track': 'Breathe, Desperately'}",,,,,
108,"{'artist': 'Billy Joel', 'album': 'An Innocent Man', 'track': 'Uptown Girl'}",,,,,
109,"{'artist': 'Blue Rain Boots', 'album': 'Oh My God You Are Fine', 'track': 'Oh My God You Are Fine'}",,,,,
110,"{'artist': 'Hippo Campus', 'album': 'Golden', 'track': 'Golden'}",,,,,
111,"{'artist': 'The Story So Far', 'album': 'The Story so Far / Stick to Your Guns Split - EP', 'track': 'Clairvoyant'}",,,,,
112,"{'artist': 'Twenty One Pilots', 'album': 'Vessel', 'track': 'Screen'}",,,,,
113,"{'artist': 'Paramore', 'album': 'After Laughter', 'track': 'Caught in the Middle'}",,,,,
114,"{'artist': 'Marshmello', 'album': 'Happier', 'track': 'Happier'}",,,,,
115,"{'artist': 'Will Jay', 'album': 'Never Been In Love', 'track': 'Never Been In Love'}",,,,,
116,"{'artist': 'Quinn Cicala', 'album': 'Dream I Had', 'track': 'Dreams'}",,,,,
117,"{'artist': 'The Front Bottoms', 'album': 'Tie Dye Dragon', 'track': 'Tie Dye Dragon'}",,,,,
118,"{'artist': 'JR JR', 'album': 'Horse Power EP', 'track': 'God Only Knows - EP Version'}",,,,,
119,"{'artist': 'Kendrick Lamar', 'album': 'DAMN.', 'track': 'DNA.'}",,,,,
120,"{'artist': 'You Me At Six', 'album': 'Night People', 'track': 'Take on the World'}",,,,,
121,"{'artist': 'MisterWives', 'album': 'the end…whywhywhy', 'track': 'the end'}",,,,,
122,"{'artist': 'Halsey', 'album': 'BADLANDS', 'track': 'New Americana'}",,,,,
123,"{'artist': 'WALK THE MOON', 'album': 'Walk The Moon', 'track': 'Jenny'}",,,,,
124,"{'artist': 'Passion Pit', 'album': 'Gossamer', 'track': 'Take a Walk'}",,,,,
125,"{'artist': 'Father John Misty', 'album': ""God's Favorite Customer"", 'track': 'Mr. Tillman'}",,,,,
126,"{'artist': 'Ariana Grande', 'album': 'Dangerous Woman', 'track': 'Dangerous Woman'}",,,,,
127,"{'artist': 'Bo Burnham', 'album': 'what.', 'track': 'Intro'}",,,,,
128,"{'artist': 'Paramore', 'album': 'Brand New Eyes', 'track': 'Ignorance'}",,,,,
129,"{'artist': 'George Ezra', 'album': ""Staying at Tamara's"", 'track': 'Shotgun'}",,,,,
130,"{'artist': 'HYUKOH', 'album': '20', 'track': 'Wi Ing Wi Ing'}",,,,,
131,"{'artist': 'WALK THE MOON', 'album': 'What If Nothing', 'track': 'All Night'}",,,,,
132,"{'artist': 'Varsity', 'album': 'Cult of Personality - So Sad, So Sad', 'track': 'So Sad, So Sad'}",,,,,
133,"{'artist': 'Twenty One Pilots', 'album': 'Trench', 'track': 'Smithereens'}",,,,,
134,"{'artist': 'The Wombats', 'album': 'Proudly Present... A Guide to Love, Loss & Desperation', 'track': ""Let's Dance to Joy Division""}",,,,,
135,"{'artist': 'Fall Out Boy', 'album': 'Infinity On High', 'track': 'Dance, Dance - Live From Hammersmith Palais'}",,,,,
136,"{'artist': 'Years & Years', 'album': 'Communion', 'track': 'Desire'}",,,,,
137,"{'artist': 'Cashew Chemists', 'album': 'Cashew Chemists', 'track': 'Over You'}",,,,,
138,"{'artist': 'Paramore', 'album': 'After Laughter', 'track': 'Forgiveness'}",,,,,
139,"{'artist': 'The Menzingers', 'album': 'After The Party', 'track': ""Livin' Ain't Easy""}",,,,,
140,"{'artist': 'JJAMZ', 'album': 'Suicide Pact', 'track': 'Heartbeat'}",,,,,
141,"{'artist': 'Fall Out Boy', 'album': 'American Beauty/American Psycho', 'track': 'Favorite Record'}",,,,,
142,"{'artist': 'Joywave', 'album': 'How Do You Feel Now?', 'track': 'Traveling at the Speed of Light'}",,,,,
143,"{'artist': 'Yung Gravy', 'album': 'Sensational', 'track': 'Whip A Tesla'}",,,,,
144,"{'artist': 'MILKK', 'album': 'Sad Girls', 'track': 'Pacific Kiss'}",,,,,
145,"{'artist': 'The Strokes', 'album': 'Room On Fire', 'track': 'Reptilia'}",,,,,
146,"{'artist': 'Air Traffic Controller', 'album': 'Nordo', 'track': 'Hurry, Hurry'}",,,,,
147,"{'artist': 'Wild Party', 'album': 'Phantom Pop', 'track': 'OutRight'}",,,,,
148,"{'artist': 'Alabama Shakes', 'album': 'Boys & Girls', 'track': 'Hang Loose'}",,,,,
149,"{'artist': 'Taking Back Sunday', 'album': 'Where You Want to Be', 'track': 'A Decade Under The Influence'}",,,,,
150,"{'artist': 'Jon Bellion', 'album': 'The Human Condition', 'track': 'Maybe IDK'}",,,,,
151,"{'artist': 'Good Charlotte', 'album': '40 oz. Dream', 'track': '40 oz. Dream'}",,,,,
152,"{'artist': 'Impermeables', 'album': 'Yo Quiero Escaparme', 'track': 'Yo Quiero Escaparme'}",,,,,
153,"{'artist': 'Wild Party', 'album': 'Phantom Pop', 'track': 'Violet'}",,,,,
154,"{'artist': 'AJR', 'album': 'The Click', 'track': 'Weak'}",,,,,
155,"{'artist': 'Joywave', 'album': 'Content', 'track': 'Thanks. Thanks for Coming'}",,,,,
156,"{'artist': 'Vance Joy', 'album': 'Dream Your Life Away', 'track': 'Georgia'}",,,,,
157,"{'artist': 'The Hotelier', 'album': 'Home, Like NoPlace Is There', 'track': 'An Introduction To The Album'}",,,,,
158,"{'artist': 'Two Door Cinema Club', 'album': 'Tourist History', 'track': 'Cigarettes In The Theatre'}",,,,,
159,"{'artist': 'Leningrad', 'album': 'Made in Russia (Compiled and mixed by Gülbahar Kültür)', 'track': 'Super Good'}",,,,,
160,"{'artist': 'Joywave', 'album': 'How Do You Feel Now?', 'track': 'Tongues'}",,,,,
161,"{'artist': 'The Head and the Heart', 'album': 'All We Ever Knew', 'track': 'All We Ever Knew'}",,,,,
162,"{'artist': 'Safe Bet', 'album': ""What's Left of This"", 'track': 'Figure This Out'}",,,,,
163,"{'artist': 'Rex Orange County', 'album': 'Uno', 'track': 'Uno'}",,,,,
164,"{'artist': 'Fall Out Boy', 'album': 'Wilson (Expensive Mistakes)', 'track': 'Wilson (Expensive Mistakes)'}",,,,,
165,"{'artist': 'Real Friends', 'album': ""Maybe This Place Is the Same and We're Just Changing"", 'track': ""...And We're Just Changing""}",,,,,
166,"{'artist': 'David Bowie', 'album': 'Valerian and the City of a Thousand Planets (Original Motion Picture Soundtrack)', 'track': 'Space Oddity'}",,,,,
167,"{'artist': 'Joywave', 'album': 'Koda Vista', 'track': 'Who Do You Like?'}",,,,,
168,"{'artist': 'Vampire Weekend', 'album': 'Vampire Weekend', 'track': 'A-Punk'}",,,,,
169,"{'artist': 'Daryl Hall & John Oates', 'album': 'Hall & Oates', 'track': 'You Make My Dreams'}",,,,,
170,"{'artist': 'moow', 'album': ""I Can't Tell You How Much It Hurts"", 'track': 'People'}",,,,,
171,"{'artist': 'My Chemical Romance', 'album': 'Number Three', 'track': 'The Light Behind Your Eyes'}",,,,,
172,"{'artist': 'Weezer', 'album': 'Raditude', 'track': ""(If You're Wondering If I Want You To) I Want You To""}",,,,,
173,"{'artist': 'Wild Party', 'album': 'Phantom Pop', 'track': 'Violet'}",,,,,
174,"{'artist': 'Vesperteen', 'album': 'Vesperteen', 'track': 'Shatter in the Night'}",,,,,
175,"{'artist': 'Two Door Cinema Club', 'album': 'Tourist History', 'track': 'Undercover Martyn'}",,,,,
176,"{'artist': 'Bo Burnham', 'album': 'Bo Burnham', 'track': 'My Whole Family... (live)'}",,,,,
177,"{'artist': 'The Front Bottoms', 'album': 'Back On Top', 'track': 'West Virginia'}",,,,,
178,"{'artist': 'Miley Cyrus', 'album': 'Hannah Montana The Movie', 'track': 'The Climb'}",,,,,
179,"{'artist': 'Future Islands', 'album': 'Singles', 'track': 'Seasons (Waiting On You)'}",,,,,
