,platform,searchTime,searchQuery,searchInteractionURIs
61,DESKTOP,2020-03-21T00:51:04.039Z[UTC],the daily,['spotify:show:3IM0lmZxpFAY7CwMuv9H4g']
62,DESKTOP,2020-03-23T01:53:35.152Z[UTC],jeremy ,['spotify:artist:3gIRvgZssIb9aiirIg0nI3']
63,DESKTOP,2020-03-24T17:08:46.403Z[UTC],discover,['spotify:playlist:37i9dQZEVXcJsULUybKmVi']
64,IPHONE,2020-03-26T00:02:08.450Z[UTC],sparkle,['spotify:track:3A4FRzgve9BjfKbvVXRIFO']
65,IPHONE,2020-03-26T03:15:10.751Z[UTC],d,['']
66,IPHONE,2020-03-26T03:15:18.316Z[UTC],dream la,['spotify:track:5mEqD00bdFcsiVd0MfvEeF']
67,DESKTOP,2020-03-26T14:14:51.809Z[UTC],daily,['spotify:show:3IM0lmZxpFAY7CwMuv9H4g']
68,IPHONE,2020-03-27T18:28:32.403Z[UTC],the da,['spotify:episode:44yCWnUqMezie1mvKcX1Qt']
69,DESKTOP,2020-03-30T13:53:38.260Z[UTC],discover,['spotify:playlist:37i9dQZEVXcJsULUybKmVi']
70,IPHONE,2020-04-02T23:25:35.297Z[UTC],still alive,['spotify:track:0Nrw0vKim2z4dph1jsxvye']
71,IPHONE,2020-04-05T03:43:15.555Z[UTC],saint,['spotify:track:4YTFAawmOFyRjJdT6H95oE']
72,IPHONE,2020-04-07T04:48:31.591Z[UTC],bts,['spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX']
73,DESKTOP,2020-04-13T18:12:15.487Z[UTC],jawn,['spotify:artist:25pd339V2rRJo84USlcSRP']
74,DESKTOP,2020-04-13T18:14:21.966Z[UTC],wallows,['spotify:artist:0NIPkIjTV8mB795yEIiPYL']
75,IPHONE,2020-04-17T15:45:03.779Z[UTC],the daily,[]
76,IPHONE,2020-04-22T04:37:58.225Z[UTC],robber,['spotify:track:06cCziAHtDg6pcsidZHu03']
77,IPHONE,2020-04-22T22:42:13.688Z[UTC],screamo,"['spotify:playlist:1vsa9yYbQF2pZA1CUsCTmo', 'spotify:playlist:4zFJiLqbv3fNahIjNU4gCv', 'spotify:playlist:1vsa9yYbQF2pZA1CUsCTmo', '']"
78,IPHONE,2020-04-22T22:49:23.777Z[UTC],punk goes pop,['spotify:playlist:6sWdt0tcjTBxz8oAQAd6bN']
79,WEB,2020-04-26T05:20:54.004Z[UTC],the wrecks,[]
80,WEB,2020-04-26T16:25:51.248Z[UTC],john mykabe,[]
