,endTime,artistName,trackName,msPlayed
0,2020-03-08 22:15,Shawn Mendes,Stitches,206880
1,2020-03-08 22:18,The Killers,When You Were Young,220426
2,2020-03-08 22:22,Grouplove,Welcome To Your Life,227800
3,2020-03-08 22:25,Grandview,"Recall, Recede",150054
4,2020-03-08 22:25,Ed Sheeran,Sofa,4551
5,2020-03-08 22:27,Two Door Cinema Club,Wake Up,141223
6,2020-03-08 23:12,The Wombats,Give Me a Try,228470
7,2020-03-08 23:14,Lady Gaga,Look What I Found,175240
8,2020-03-08 23:17,Cavetown,Talk to Me,131630
9,2020-03-09 17:01,Winnetka Bowling League,On The 5,179840
10,2020-03-09 17:03,A R I Z O N A,Freaking Out,7557
11,2020-03-09 17:03,88rising,Walking (feat. Swae Lee & Major Lazer),167080
12,2020-03-09 17:06,The Wrecks,Fvck Somebody,181267
13,2020-03-09 17:08,My Chemical Romance,Fake Your Death,2880
14,2020-03-09 17:08,A R I Z O N A,Freaking Out,1344
15,2020-03-09 17:08,Driver Friendly,Messidona,3893
16,2020-03-09 17:08,Fall Out Boy,Thriller,107288
17,2020-03-09 17:11,Winnetka Bowling League,On The 5,179840
18,2020-03-09 17:12,WALK THE MOON,In My Mind,2293
19,2020-03-09 17:12,Little Comets,Bridge Burn,17302
20,2020-03-09 17:12,88rising,Walking (feat. Swae Lee & Major Lazer),10773
21,2020-03-09 17:16,flor,rely,215322
22,2020-03-09 17:19,flor,heart,222825
23,2020-03-09 17:23,flor,hold on,204773
24,2020-03-09 17:26,flor,yellow (feat. MisterWives),205310
25,2020-03-09 17:28,flor,ley lines,113521
26,2020-03-09 17:32,flor,moonday,29291
27,2020-03-09 17:32,flor,restless soul,220970
28,2020-03-09 17:36,flor,rely,215322
29,2020-03-09 17:40,flor,overbehind,235604
30,2020-03-09 17:42,flor,white noise,120819
31,2020-03-09 17:42,flor,warm blood,1429
32,2020-03-09 17:45,flor,aiming low,218320
33,2020-03-09 17:46,flor,little light one,4668
34,2020-03-09 17:49,flor,where do you go,207967
35,2020-03-09 17:52,flor,back again,201398
36,2020-03-09 17:56,flor,dancing around,235706
37,2020-03-09 17:59,flor,slow motion,183760
38,2020-03-09 18:03,flor,rely,215322
39,2020-03-09 18:04,flor,heart,64234
40,2020-03-09 18:07,flor,hold on,204773
41,2020-03-09 18:11,flor,moonday,230066
42,2020-03-09 18:15,flor,yellow (feat. MisterWives),205310
43,2020-03-09 18:19,flor,ley lines,229226
44,2020-03-09 18:22,flor,white noise,232133
45,2020-03-09 18:26,flor,restless soul,220970
46,2020-03-09 18:30,flor,aiming low,218320
47,2020-03-09 18:34,flor,warm blood,247414
48,2020-03-09 18:38,flor,overbehind,235604
49,2020-03-09 18:38,flor,where do you go,8436
50,2020-03-09 18:41,Winnetka Bowling League,On The 5,179840
51,2020-03-09 18:43,Against Me!,Thrash Unreal,93665
52,2020-03-09 18:46,Winnetka Bowling League,On The 5,179840
53,2020-03-09 18:46,blink-182,Bored To Death,53900
54,2020-03-09 18:49,AJR,Bang!,170858
55,2020-03-09 18:50,Yung Gravy,Whip A Tesla,13175
56,2020-03-09 18:50,flor,yellow (feat. MisterWives),1781
57,2020-03-09 18:50,Winnetka Bowling League,On The 5,6186
58,2020-03-09 18:50,AJR,Bang!,1951
59,2020-03-09 18:53,Foster The People,Houdini,175562
