,endTime,artistName,trackName,msPlayed
0,2019-11-26 22:38,ROLE MODEL,not a fan,511
1,2019-11-26 22:41,Never Shout Never,Dare4distance,167866
2,2019-11-26 22:43,The Mowgli's,I'm Good,166893
3,2019-11-26 22:46,Spencer Sutherland,Freaking Out,170363
4,2019-11-26 22:48,Valentine,Pink & Blue,597
5,2019-11-26 22:48,Dillon Francis,Love in the Middle of a Firefight (feat. Brendon Urie),127275
6,2019-11-26 22:51,Third Eye Blind,Never Let You Go - 2008 Remaster,1066
7,2019-11-26 22:51,Dayglow,Can I Call You Tonight?,156992
8,2019-11-26 22:51,The Front Bottoms,Skeleton,810
9,2019-11-26 22:51,Watsky,"Tiny Glowing Screens, Pt. 2",1471
10,2019-11-26 22:51,Clairo,Flaming Hot Cheetos,618
11,2019-11-26 22:52,Watsky,"Tiny Glowing Screens, Pt. 2",682
12,2019-11-26 22:52,Jetty Bones,Innocent Party,768
13,2019-11-26 22:52,Clairo,Flaming Hot Cheetos,53546
14,2019-11-26 22:55,Never Shout Never,I Just Laugh,158080
15,2019-11-26 22:59,Mayday Parade,Terrible Things - EP Version,238076
16,2019-11-26 23:00,The Format,The First Single,56795
17,2019-11-26 23:03,3OH!3,MAD AT YOU,203733
18,2019-11-26 23:04,girl in red,dead girl in the pool.,40737
19,2019-11-27 17:06,Never Shout Never,Dare4distance,1386
20,2019-11-27 17:07,ROLE MODEL,minimal,83285
21,2019-11-27 17:08,Spencer Sutherland,Grateful,18922
22,2019-11-27 17:11,ROLE MODEL,minimal,163339
23,2019-11-27 17:13,Fall Out Boy,"A Little Less Sixteen Candles, A Little More ""Touch Me""",169026
24,2019-11-27 17:16,Lily Allen,Hard out Here,132788
25,2019-11-27 17:16,Alphaville,Forever Young,1173
26,2019-11-27 17:19,Wild Party,Life's Too Short,221626
27,2019-11-27 17:23,One Direction,You & I,237933
28,2019-11-27 17:28,Kanye West,Stronger,311866
29,2019-11-27 17:31,Father John Misty,The Palace,128982
30,2019-11-27 17:35,Andrew McMahon in the Wilderness,Teenage Rockstars,253503
31,2019-11-27 17:36,The Weeknd,True Colors,533
32,2019-11-27 17:36,Wild Party,OutRight,1791
33,2019-11-27 17:36,MARINA,I'm a Ruin,95551
34,2019-11-27 17:37,Elton John,I Think I'm Going To Kill Myself,1685
35,2019-11-27 17:37,Never Shout Never,What Is Love?,960
36,2019-11-27 17:37,Dayglow,Can I Call You Tonight?,1002
37,2019-11-27 17:37,Modern Baseball,Wedding Singer,10623
38,2019-11-27 17:37,blink-182,Kings of the Weekend,597
39,2019-11-27 17:37,Spencer Sutherland,Grateful,725
40,2019-11-27 17:37,The All-American Rejects,My Paper Heart,597
41,2019-11-27 17:37,Arctic Monkeys,Mardy Bum,575
42,2019-11-27 17:37,The Tallest Man On Earth,The Dreamer,661
43,2019-11-27 17:39,ROLE MODEL,minimal,163339
44,2019-11-27 17:42,Fall Out Boy,Thriller - Live From Hammersmith Palais,150378
45,2019-11-27 17:45,Shawn Mendes,Nervous,164146
46,2019-11-27 17:46,Forget It.,No Clean Clothes,47257
47,2019-11-27 18:00,flor,dancing around,80896
48,2019-11-27 18:00,Spencer Sutherland,Grateful,19733
49,2019-11-27 18:02,Valentine,Pink & Blue,38613
50,2019-11-29 00:36,COIN,Let It All Out (10:05),1450
51,2019-11-29 00:36,ROLE MODEL,hello!,121621
52,2019-11-29 00:36,Old Gray,Wolves,5845
53,2019-11-29 00:39,Bad Suns,Transpose,938
54,2019-11-29 00:39,Weezer,King Of The World,1322
55,2019-11-29 00:39,Hot Chelle Rae,Tonight Tonight,4502
56,2019-11-29 00:39,AJR,Come Hang Out,1322
57,2019-11-29 00:39,My Chemical Romance,Welcome to the Black Parade,896
58,2019-11-29 00:39,Paramore,Still into You,895
59,2019-11-29 00:39,Panic! At The Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,895
60,2019-11-29 00:39,Vinyl Theatre,Breaking Up My Bones,746
61,2019-11-29 00:39,Harry Styles,Lights Up,172213
62,2019-11-29 00:43,Single File,Zombies Ate My Neighbors,2346
63,2019-11-29 00:43,Panic! At The Disco,When the Day Met the Night,981
64,2019-11-29 00:43,Will Joseph Cook,If You Want To Make Money,207381
65,2019-11-29 00:43,The Front Bottoms,Ginger,853
66,2019-11-29 00:43,Analog Rebellion,Nothing Is Wrong,597
67,2019-11-29 00:43,Portugal. The Man,So Young,789
68,2019-11-29 00:43,Sublime,Chica Me Tipo,853
69,2019-11-29 00:43,Sublime,Chica Me Tipo,5631
70,2019-11-29 00:43,Never Shout Never,The Past,575
71,2019-11-29 00:43,Watsky,Whoa Whoa Whoa,533
72,2019-11-29 00:43,Fake Shark,Something Special,789
73,2019-11-29 00:43,The All-American Rejects,Move Along,1023
74,2019-11-29 00:43,Panic! At The Disco,Hurricane,1087
75,2019-11-29 00:43,Two Door Cinema Club,Cigarettes In the Theatre,640
76,2019-11-29 00:43,Deer Tick,Baltimore Blues No. 1,981
77,2019-11-29 00:43,blink-182,Give Me One Good Reason,618
78,2019-11-29 00:43,Cayucas,High School Lover,789
79,2019-11-29 00:43,Air Traffic Controller,The House,960
80,2019-11-29 00:43,Louie Zong,Aurora Kingdom,938
81,2019-11-29 00:43,Foreign Fields,I,1023
82,2019-11-29 00:43,Fall Out Boy,The Pros and Cons of Breathing,874
83,2019-11-29 00:43,Ed Sheeran,Sofa,725
84,2019-11-29 00:43,ScHoolboy Q,Big Body,725
85,2019-11-29 00:43,Panic! At The Disco,High Hopes,874
86,2019-11-29 00:43,Geographer,Keep,1002
87,2019-11-29 00:43,Portugal. The Man,Easy Tiger,1002
88,2019-11-29 00:43,Joywave,Who Do You Like?,661
89,2019-11-29 00:43,The Killers,Mr. Brightside,682
90,2019-11-29 00:43,Paper Lions,Travelling,917
91,2019-11-29 00:43,Silverstein,Call It Karma - Acoustic,1023
92,2019-11-29 00:43,The 1975,Chocolate,853
93,2019-11-29 00:43,The Shins,Name For You,1642
94,2019-11-29 00:43,Father John Misty,Just Dumb Enough to Try,298
95,2019-11-29 00:43,Every Avenue,Tell Me I'm A Wreck,2218
96,2019-11-29 00:46,Fall Out Boy,Bob Dylan,148842
97,2019-11-29 00:46,Rex Orange County,It's Not The Same Anymore,4821
98,2019-11-29 00:50,Fall Out Boy,Young Volcanoes,533
99,2019-11-29 00:50,Ariana Grande,better off,1237
100,2019-11-29 00:50,Pink Floyd,Money,1493
101,2019-11-29 00:50,McCafferty,BritRock,768
102,2019-11-29 00:50,My Chemical Romance,Mama,1877
103,2019-11-29 00:50,Yoke Lore,Fake You,874
104,2019-11-29 00:50,Broods,Bridges,15616
105,2019-11-29 00:50,Rex Orange County,Never Had The Balls,236893
106,2019-11-29 00:50,Eddy Kim,The Manual,2158
107,2019-11-29 00:50,Joywave,Now,1023
108,2019-11-29 00:50,Marianas Trench,Haven't Had Enough,1301
109,2019-11-29 00:50,Kishi Bashi,Honeybody,1023
110,2019-11-29 00:50,The Format,A Save Situation,1045
111,2019-11-29 00:51,Andrés,Salty,52650
112,2019-11-29 00:51,Chelou,Don't Hate on Me,917
113,2019-11-29 01:40,Panic! At The Disco,Dancing's Not a Crime,25642
114,2019-11-29 01:45,The Front Bottoms,Ocean,1280
115,2019-11-29 01:45,Somos,Strangers On The Train,1045
116,2019-11-29 01:45,Bayside,Night's Song,2961
117,2019-11-29 01:45,Fast Romantics,Funeral Song,810
118,2019-11-29 01:45,The Maine,Another Night On Mars,266405
119,2019-11-29 01:45,Grouplove,Raspberry,831
120,2019-11-29 01:45,Saint Motel,Sweet Talk,789
121,2019-11-29 01:45,Brendan Maclean,Stupid,1770
122,2019-11-29 01:45,Sum 41,Fat Lip,810
123,2019-11-29 01:45,Bazzi,Why,853
124,2019-11-29 01:48,Two Door Cinema Club,Sun,187720
125,2019-11-29 01:48,Rex Orange County,Never Had The Balls,917
126,2019-11-29 01:48,The Story So Far,Heavy Gloom,7406
127,2019-11-29 01:50,Grouplove,Adios Amigos,10180
128,2019-11-29 01:50,Rex Orange County,Laser Lights,131080
129,2019-11-29 01:53,Rex Orange County,Face to Face,163541
130,2019-11-29 16:30,The Vernes,Canadian Girl,173509
131,2019-11-29 16:34,Rise Against,Make It Stop (September's Children),234786
132,2019-11-29 16:37,Brick + Mortar,Train,185029
133,2019-11-29 16:41,Wild Party,First Two Days With You,233720
134,2019-11-29 16:41,Coldplay,Sparks,810
135,2019-11-29 16:41,Yoke Lore,Goodpain,5877
136,2019-11-29 16:44,You Me At Six,Night People,183720
137,2019-11-29 16:46,Andrew McMahon in the Wilderness,Everything Must Go,72676
138,2019-11-29 16:47,Chris Jobe,Bad Look Good,112000
139,2019-11-30 16:45,Yellow Ostrich,WHALE,2837
140,2019-11-30 16:54,Harry Styles,Watermelon Sugar,554
141,2019-11-30 16:54,Dayglow,Can I Call You Tonight?,249621
142,2019-11-30 16:54,Father John Misty,Nancy From Now On,3306
143,2019-11-30 16:54,Coldplay,BrokEn,1450
144,2019-11-30 16:56,Coldplay,Orphans,2602
145,2019-11-30 17:00,Mosie,Look@Ugo,2389
146,2019-11-30 17:00,Car Seat Headrest,Destroyed By Hippie Powers,1514
147,2019-11-30 17:00,Brent Walsh,Ride the Air,3745
148,2019-11-30 17:00,Ariana Grande,blazed (feat. Pharrell Williams),1194
149,2019-11-30 17:00,Moon Taxi,Two High,213120
150,2019-11-30 17:00,Troye Sivan,Strawberries & Cigarettes,2688
151,2019-11-30 17:00,Anarbor,18,2154
152,2019-11-30 17:00,Watsky,Welcome To The Family,1642
153,2019-11-30 17:00,Deer Tick,The Dream's In The Ditch,1984
154,2019-11-30 17:00,Best Coast,Feeling Ok,1749
155,2019-11-30 17:00,Fall Out Boy,Calm Before the Storm,1152
156,2019-11-30 17:00,Air Traffic Controller,You Know Me,1173
157,2019-11-30 17:00,X Ambassadors,Gorgeous,1045
158,2019-11-30 17:01,The Front Bottoms,Peace Sign,93610
159,2019-11-30 17:02,MisterWives,whywhywhy,1173
160,2019-11-30 17:02,Good Charlotte,I Don't Wanna Be In Love (Dance Floor Anthem),2538
161,2019-11-30 17:02,Years & Years,Take Shelter,725
162,2019-11-30 17:05,MisterWives,whywhywhy,200680
163,2019-11-30 17:05,Cage The Elephant,Sweetie Little Jean,1152
164,2019-11-30 17:05,Bear Hands,Bone Digger,1301
165,2019-11-30 17:05,Unknown Mortal Orchestra,So Good at Being in Trouble,1386
166,2019-11-30 17:05,Years & Years,Take Shelter,4494
167,2019-11-30 17:06,Frank Ocean,Novacane,1280
168,2019-11-30 17:06,Arcade Fire,Wake Up,1280
169,2019-11-30 17:06,Twenty One Pilots,Fake You Out,725
170,2019-11-30 17:06,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",938
171,2019-11-30 17:06,Bear Hands,Bad Friend,1173
172,2019-11-30 17:06,The Strokes,Under Cover of Darkness,810
173,2019-11-30 17:06,The Beach Boys,Good Vibrations - Remastered,1045
174,2019-11-30 17:06,Bad Suns,Daft Pretty Boys,1642
175,2019-11-30 17:06,The 1975,Antichrist,789
176,2019-11-30 17:06,Summer Camp,I Want You,853
177,2019-11-30 17:06,Fitz and The Tantrums,Keepin Our Eyes Out,1280
178,2019-11-30 17:06,Andrew Huang,To Stardust,960
179,2019-11-30 17:06,Cavetown,Talk to Me,44245
180,2019-11-30 17:06,"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),981
181,2019-11-30 17:06,Portugal. The Man,Purple Yellow Red and Blue,1151
182,2019-11-30 17:06,Steve Aoki,Back 2 U (feat. WALK THE MOON),1173
183,2019-11-30 17:09,Shawn Mendes,Lights On,201440
184,2019-11-30 19:16,boris smile,True Colors,53249
185,2019-11-30 20:13,Moon Taxi,Morocco,208053
186,2019-11-30 20:13,Fleetwood Mac,The Chain - 2004 Remaster,20950
187,2019-11-30 20:14,Real Friends,I Don't Love You Anymore,725
188,2019-11-30 20:14,Jared & The Mill,Break in the Ether,3989
189,2019-11-30 20:14,State Champs,Secrets,896
190,2019-11-30 20:14,Von Wegen Lisbeth,Jede Ratte der U8,2602
191,2019-11-30 20:14,BTS,Lights,1728
192,2019-11-30 20:14,Von Wegen Lisbeth,Am wenigsten zu sagen,1706
193,2019-11-30 20:14,WALK THE MOON,Quesadilla,1087
194,2019-11-30 20:14,WALK THE MOON,Quesadilla,298
195,2019-11-30 20:14,Being As An Ocean,This Loneliness Won't Be the Death of Me,938
196,2019-11-30 20:14,Grouplove,Cannonball,2581
197,2019-11-30 20:14,Wild Party,Lo-Fi Children,1152
198,2019-11-30 20:14,Sledding With Tigers,Sunshine,853
199,2019-11-30 20:14,Sledding With Tigers,Sunshine,1045
200,2019-11-30 20:16,The Script,Breakeven,661
201,2019-11-30 20:16,The Young Veins,Change,1045
202,2019-11-30 20:16,Von Wegen Lisbeth,Am wenigsten zu sagen,122538
203,2019-11-30 20:16,WALK THE MOON,Quesadilla,746
204,2019-11-30 20:16,Being As An Ocean,This Loneliness Won't Be the Death of Me,703
205,2019-11-30 20:16,Ramshackle Glory,Gospel Music for the Coming Social War,4351
206,2019-11-30 20:16,Sledding With Tigers,Sunshine,661
207,2019-11-30 20:16,Father John Misty,Tee Pees 1-12,746
208,2019-11-30 20:22,Forever The Sickest Kids,My Worst Nightmare,1237
209,2019-11-30 20:22,Rex Orange County,It's Not The Same Anymore,379157
210,2019-11-30 20:25,Panic! At The Disco,Do You Know What I'm Seeing?,185685
211,2019-11-30 23:47,ROLE MODEL,minimal,3093
212,2019-11-30 23:50,Joywave,Anemone,1173
213,2019-11-30 23:50,Exam Season,Everything Is Salted Caramel,2773
214,2019-11-30 23:50,My Chemical Romance,Na Na Na (Na Na Na Na Na Na Na Na Na),1066
215,2019-11-30 23:50,Bo Burnham,Hell of a Ride - Studio,24934
216,2019-11-30 23:50,Wild Party,When I Get Older,1109
217,2019-11-30 23:50,MARINA,Bubblegum Bitch,2261
218,2019-11-30 23:50,Never Shout Never,Dare4distance,167866
219,2019-11-30 23:50,Twenty One Pilots,We Don't Believe What's on TV,895
220,2019-11-30 23:50,Arctic Monkeys,Why'd You Only Call Me When You're High?,960
221,2019-11-30 23:51,Forgive Durden,The Exit (feat. Brendon Urie and Dan Young),63210
222,2019-11-30 23:53,Spencer Sutherland,Grateful,88554
223,2019-11-30 23:56,Busdriver,Worlds to Run,938
224,2019-11-30 23:56,HYUKOH,Comes and Goes 와리가리,2048
225,2019-11-30 23:56,Johnny Mandel,"Suicide Is Painless - From the 20th Century-Fox film """"M*A*S*H""",1024
226,2019-11-30 23:56,Milo,Almond Milk Paradise,16294
227,2019-11-30 23:56,The Format,Give It Up,1216
228,2019-11-30 23:56,Farewell Fighter,Golden,1173
229,2019-11-30 23:56,Spencer Sutherland,Freaking Out,170363
230,2019-11-30 23:56,Car Seat Headrest,Unforgiving Girl (She's Not A Single Version),1088
231,2019-11-30 23:59,Fall Out Boy,G.I.N.A.S.F.S.,195093
232,2019-12-01 00:00,blink-182,Dammit,19851
233,2019-12-01 00:01,Moon Taxi,Red Hot Lights,65642
234,2019-12-01 03:01,Dayglow,Can I Call You Tonight?,362
235,2019-12-01 03:01,Twenty One Pilots,Leave the City,1642
236,2019-12-01 03:04,Dayglow,Can I Call You Tonight?,1216
237,2019-12-01 03:04,ROLE MODEL,not a fan,158933
238,2019-12-01 03:06,Against Me!,333,2047
239,2019-12-01 03:06,The Glorious Sons,S.O.S. (Sawed Off Shotgun),810
240,2019-12-01 03:06,half•alive,The Fall,4181
241,2019-12-01 03:06,Third Eye Blind,Semi-Charmed Life,1471
242,2019-12-01 03:06,Real Friends,Eastwick,831
243,2019-12-01 03:06,Never Shout Never,Dare4distance,128533
244,2019-12-01 03:06,Autoheart,Moscow,1237
245,2019-12-01 03:06,Michael Gordon,Gene Takes a Drink,1280
246,2019-12-01 03:06,Fall Out Boy,7 Minutes In Heaven (Atavan Halen),938
247,2019-12-01 03:07,The Shins,Caring Is Creepy,1386
248,2019-12-01 03:07,Royal Tongues,Rollin' On,831
