,endTime,artistName,trackName,msPlayed
0,2019-04-27 02:10,Maroon 5,Daylight,133584
1,2019-04-28 00:37,Maroon 5,Daylight,3599
2,2019-04-28 00:37,Maroon 5,Daylight,10750
3,2019-04-28 00:38,Fall Out Boy,American Made,1184
4,2019-04-28 00:38,AJR,Beats,1555
5,2019-04-28 00:38,Paramore,Emergency,1787
6,2019-04-28 00:38,Kanye West,Stronger,789
7,2019-04-28 00:38,Fall Out Boy,Saturday Night's Alright (For Fighting),1578
8,2019-04-28 00:38,Andrew McMahon in the Wilderness,Birthday Song,1114
9,2019-04-28 00:38,Pixies,Where Is My Mind?,8382
10,2019-04-28 00:38,VHS Collection,So I Met Someone,1509
11,2019-04-28 00:38,MARINA,Immortal,1044
12,2019-04-28 00:38,Saint Motel,Daydream / Wetdream / Nightmare,1578
13,2019-04-28 00:38,Grouplove,Sit Still,1300
14,2019-04-28 00:38,Paramore,Misery Business - Acoustic Version,835
15,2019-04-28 00:38,Air Traffic Controller,You Know Me,2391
16,2019-04-28 00:38,Taking Back Sunday,Cute Without The 'E' (Cut From The Team),1160
17,2019-04-28 00:48,moow,Honey,673
18,2019-04-28 00:48,Panic! At The Disco,Introduction,1625
19,2019-04-28 00:48,Beach Weather,Swoon,2298
20,2019-04-28 00:48,Still Woozy,Goodie Bag,5201
21,2019-04-28 00:48,The Wombats,Emoticons,259346
22,2019-04-28 00:48,Man Overboard,"Love Your Friends, Die Laughing",766
23,2019-04-28 00:48,Junior Prom,So Your Boyfriend's a DJ,882
24,2019-04-28 00:48,A$AP Rocky,r - Cali,2832
25,2019-04-28 00:48,Fall Out Boy,Grand Theft Autumn / Where Is Your Boy - Acoustic,6038
26,2019-04-28 00:49,Fall Out Boy,Death Valley,835
27,2019-04-28 00:49,Sorority Noise,Mononokay,998
28,2019-04-28 00:49,The Mowgli's,I'm Good,743
29,2019-04-28 00:49,WALK THE MOON,One Foot,1253
30,2019-04-28 00:49,One Direction,No Control,928
31,2019-04-28 00:49,Bad Suns,Transpose,1253
32,2019-04-28 00:49,Father John Misty,Please Don't Die,1091
33,2019-04-28 00:49,Lauren Aquilina,Kicks,835
34,2019-04-28 00:49,Tigers Jaw,Plane vs. Tank vs. Submarine,975
35,2019-04-28 00:49,Steve Aoki,Back to Earth (feat. Fall Out Boy),1277
36,2019-04-28 00:49,Portugal. The Man,Modern Jesus,1021
37,2019-04-28 00:49,POP ETC,What Am I Becoming?,2414
38,2019-04-28 00:49,Kendrick Lamar,untitled 02 | 06.23.2014.,1927
39,2019-04-28 00:49,Joywave,Compromise,1671
40,2019-04-28 00:49,Bring Me The Horizon,Drown,928
41,2019-04-28 00:49,You Me At Six,No One Does It Better,859
42,2019-04-28 00:49,Watsky,An Open Letter (feat. Shockwave) - Interlude,1160
43,2019-04-28 00:49,Zeds Dead,Too Young,928
44,2019-04-28 00:49,Cher,If I Could Turn Back Time,1950
45,2019-04-28 00:49,Fleetwood Mac,Everywhere - 2017 Remaster,1021
46,2019-04-28 00:49,Bad Suns,Salt,1393
47,2019-04-28 00:49,MGMT,Time to Pretend,1207
48,2019-04-28 00:49,Mayday Parade,Jersey,1160
49,2019-04-28 00:49,Years & Years,Worship,38545
50,2019-04-28 00:49,Frank Ocean,Lens,1323
51,2019-04-28 00:49,The Front Bottoms,Cough It Out,1439
52,2019-04-28 00:49,The Rasmus,In the Shadows,952
53,2019-04-28 00:50,Fergie,Big Girls Don't Cry (Personal),62136
54,2019-04-28 00:54,McCafferty,Blue Eyes Like the Devils Water,1346
55,2019-04-28 00:54,Twenty One Pilots,Morph,1021
