,endTime,artistName,trackName,msPlayed
100,2019-08-31 15:30,Post Malone,Goodbyes (Feat. Young Thug),5077
101,2019-08-31 15:33,Post Malone,Goodbyes (Feat. Young Thug),169858
102,2019-08-31 15:38,girl in red,summer depression,151693
103,2019-08-31 15:38,Mom Jeans.,*Sobs Quietly*,15982
104,2019-08-31 15:42,Watsky,Seizure Boy,216133
105,2019-08-31 15:57,COIN,Talk Too Much,3328
106,2019-08-31 16:00,blackbear,hot girl bummer,185093
107,2019-08-31 16:04,Avril Lavigne,Complicated,244506
108,2019-08-31 16:16,half•alive,TrusT,76834
109,2019-08-31 16:16,Quinn XCII,Stacy - Acoustic,6933
110,2019-08-31 16:19,Quinn XCII,Stacy - Acoustic,182186
111,2019-08-31 16:23,Quinn XCII,Straightjacket,206533
112,2019-08-31 16:23,Jon Bellion,Blu,38001
113,2019-08-31 16:24,Post Malone,Goodbyes (Feat. Young Thug),32597
114,2019-08-31 16:24,The Killers,Read My Mind,1237
115,2019-08-31 16:24,Whethan,Good Nights (feat. Mascolo),7360
116,2019-08-31 16:52,The Daily,Why Uber Still Can’t Make a Profit,1669160
117,2019-08-31 17:13,The Daily,Political Mayhem in Britain and Italy,1252985
118,2019-08-31 17:34,The Daily,Why the Amazon Is Burning,1214655
119,2019-08-31 17:37,blackbear,hot girl bummer,185093
120,2019-08-31 17:37,Avril Lavigne,Head Above Water,1429
121,2019-08-31 17:37,Avril Lavigne,Bad Reputation,1408
122,2019-08-31 17:37,Avril Lavigne,Complicated,34609
123,2019-08-31 17:41,Avril Lavigne,Girlfriend,15358
124,2019-08-31 17:41,Avril Lavigne,Wish You Were Here,1749
125,2019-08-31 17:41,Avril Lavigne,What the Hell,220706
126,2019-08-31 17:45,Avril Lavigne,Smile,209520
127,2019-08-31 17:45,Avril Lavigne,Stop Standing There,8442
128,2019-08-31 17:46,Avril Lavigne,Wish You Were Here,68480
129,2019-08-31 23:31,Avril Lavigne,Smile,209520
130,2019-08-31 23:34,Avril Lavigne,What the Hell,220706
131,2019-08-31 23:35,Weezer,Thank God for Girls,1471
132,2019-08-31 23:35,The Band CAMINO,Something To Hold On To,480
133,2019-08-31 23:35,Post Malone,Goodbyes (Feat. Young Thug),2528
134,2019-08-31 23:35,Post Malone,Over Now,17200
135,2019-08-31 23:56,Quinn XCII,Stacy - Acoustic,254816
136,2019-08-31 23:59,blackbear,hot girl bummer,185093
137,2019-09-01 00:03,Avril Lavigne,Complicated,244506
138,2019-09-01 00:07,half•alive,TrusT,257120
139,2019-09-01 00:10,Joywave,Obsession,186520
140,2019-09-01 00:13,half•alive,Maybe,193306
141,2019-09-01 00:16,half•alive,RUNAWAY,162200
142,2019-09-01 00:19,Von Wegen Lisbeth,Lang lebe die Störung im Betriebsablauf,166160
143,2019-09-01 00:23,The Band CAMINO,Honest,200957
144,2019-09-01 00:27,5 Seconds of Summer,She's Kinda Hot,216454
145,2019-09-01 00:29,Cavetown,Boys Will Be Bugs,895
146,2019-09-01 00:29,MisterWives,Never Give Up On Me,95107
147,2019-09-01 00:29,Cavetown,Talk to Me,3200
148,2019-09-01 00:34,Cavetown,Lemon Boy,262997
149,2019-09-01 00:34,Avril Lavigne,What the Hell,1557
150,2019-09-01 00:37,Avril Lavigne,Smile,209520
151,2019-09-01 00:39,Avril Lavigne,What the Hell,68578
152,2019-09-01 00:43,Avril Lavigne,Complicated,244506
153,2019-09-01 00:46,Avril Lavigne,Sk8er Boi,153274
154,2019-09-01 00:46,Avril Lavigne,Head Above Water,0
155,2019-09-01 00:56,Avril Lavigne,What the Hell,2000
156,2019-09-01 00:59,Avril Lavigne,Smile,198506
